Temperature (K)	Pressure (Pa)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, J/kg)"	"Enthalpy (l, J/kg)"	"Entropy (l, J/kg*K)"	"Cv (l, J/kg*K)"	"Cp (l, J/kg*K)"	"Sound Spd. (l, m/s)"	"Joule-Thomson (l, K/Pa)"	"Viscosity (l, Pa*s)"	"Therm. Cond. (l, W/m*K)"	"Surf. Tension (l, N/m)"	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, J/kg)"	"Enthalpy (v, J/kg)"	"Entropy (v, J/kg*K)"	"Cv (v, J/kg*K)"	"Cp (v, J/kg*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/Pa)"	"Viscosity (v, Pa*s)"	"Therm. Cond. (v, W/m*K)"
190	2.52E-01	878.56	0.0011382	-372680	-372680	-1388.6	1533	1937.9	1569.1	-4.71E-07	0.021611	0.19971	0.032616	7.34E-06	136270	609850	644140	3963.1	925.17	1105.7	202.44	0.0010669	5.35E-06	0.0071134
191	2.94E-01	877.64	0.0011394	-370740	-370740	-1378.4	1535.3	1939.5	1565.1	-4.70E-07	0.020732	0.19916	0.03247	8.53E-06	117300	610770	645250	3940.9	927.47	1108	202.93	0.0010424	5.39E-06	0.0071725
192	3.43E-01	876.73	0.0011406	-368800	-368800	-1368.3	1537.6	1941	1561.1	-4.70E-07	0.019899	0.19862	0.032325	9.89E-06	101140	611700	646360	3919	929.79	1110.3	203.42	0.0010186	0.000005418	0.0072319
193	3.99E-01	875.81	0.0011418	-366860	-366860	-1358.2	1539.9	1942.5	1557.1	-4.70E-07	0.019108	0.19809	0.032181	0.000011448	87355	612630	647470	3897.4	932.11	1112.6	203.9	0.00099541	5.45E-06	0.0072914
194	4.63E-01	874.9	0.001143	-364910	-364910	-1348.1	1542.1	1944.1	1553	-4.69E-07	0.018358	0.19756	0.03204	0.000013232	75574	613570	648580	3876.1	934.44	1114.9	204.39	0.00097286	5.48E-06	0.0073512
195	5.37E-01	873.99	0.0011442	-362970	-362970	-1338.1	1544.4	1945.6	1549	-4.69E-07	0.017645	0.19704	0.031899	0.00001527	65488	614500	649700	3855	936.79	1117.3	204.88	0.00095091	0.000005515	0.0074113
196	6.22E-01	873.09	0.0011454	-361020	-361020	-1328.2	1546.6	1947.1	1544.9	-4.69E-07	0.016968	0.19652	0.031761	0.000017593	56840	615440	650810	3834.3	939.14	1119.6	205.36	0.00092956	5.55E-06	0.0074715
197	7.20E-01	872.18	0.0011466	-359080	-359080	-1318.3	1548.8	1948.7	1540.8	-4.68E-07	0.016323	0.19601	0.031624	0.000020238	49412	616380	651940	3813.8	941.5	1122	205.84	0.00090878	5.58E-06	0.007532
198	8.31E-01	871.28	0.0011477	-357130	-357130	-1308.4	1551	1950.3	1536.7	-4.68E-07	0.01571	0.1955	0.031488	0.000023244	43021	617320	653060	3793.6	943.88	1124.4	206.32	0.00088855	5.61E-06	0.0075928
199	9.57E-01	870.37	0.0011489	-355170	-355170	-1298.6	1553.2	1951.9	1532.5	-4.67E-07	0.015126	0.195	0.031354	0.000026656	37515	618270	654180	3773.6	946.26	1126.8	206.8	0.00086886	5.64E-06	0.0076538
200	1.10E+00	869.47	0.0011501	-353220	-353220	-1288.8	1555.5	1953.6	1528.4	-4.67E-07	0.014569	0.1945	0.031221	0.000030523	32763	619220	655310	3753.9	948.66	1129.1	207.28	0.00084968	5.68E-06	0.0077151
201	1.27E+00	868.58	0.0011513	-351270	-351270	-1279	1557.8	1955.3	1524.2	-4.66E-07	0.014038	0.19401	0.031089	0.000034898	28655	620170	656440	3734.5	951.06	1131.6	207.75	0.000831	5.71E-06	0.0077766
202	1.45E+00	867.68	0.0011525	-349310	-349310	-1269.3	1560.1	1957.1	1520	-4.66E-07	0.013532	0.19352	0.030959	0.000039842	25099	621120	657570	3715.3	953.48	1134	208.23	0.00081282	5.74E-06	0.0078383
203	1.66E+00	866.78	0.0011537	-347350	-347350	-1259.6	1562.5	1958.9	1515.8	-4.66E-07	0.013049	0.19304	0.030831	0.000045422	22016	622070	658710	3696.3	955.91	1136.4	208.7	0.0007951	0.000005773	0.0079003
204	1.90E+00	865.89	0.0011549	-345390	-345390	-1250	1564.9	1960.7	1511.6	-4.65E-07	0.012587	0.19257	0.030703	0.000051709	19339	623030	659850	3677.6	958.35	1138.8	209.17	0.00077784	5.81E-06	0.0079626
205	2.17E+00	865	0.0011561	-343430	-343430	-1240.4	1567.4	1962.7	1507.3	-4.65E-07	0.012145	0.1921	0.030577	0.000058784	17011	623990	660990	3659.2	960.8	1141.3	209.64	0.00076101	5.84E-06	0.0080252
206	2.48E+00	864.11	0.0011573	-341470	-341470	-1230.9	1569.9	1964.7	1503.1	-4.64E-07	0.011724	0.19163	0.030452	0.000066736	14984	624950	662130	3641	963.26	1143.8	210.11	0.00074462	5.87E-06	0.008088
207	2.83E+00	863.22	0.0011585	-339500	-339500	-1221.3	1572.5	1966.8	1498.8	-4.63E-07	0.01132	0.19117	0.030329	0.00007566	13217	625910	663270	3623	965.73	1146.2	210.57	0.00072864	5.90E-06	0.0081511
208	3.22E+00	862.33	0.0011597	-337530	-337530	-1211.9	1575.2	1968.9	1494.6	-4.63E-07	0.010934	0.19071	0.030207	0.000085664	11674	626880	664420	3605.2	968.22	1148.7	211.04	0.00071307	5.93E-06	0.0082145
209	3.65E+00	861.44	0.0011608	-335560	-335560	-1202.4	1577.9	1971.1	1490.3	-4.62E-07	0.010564	0.19026	0.030086	0.000096862	10324	627850	665570	3587.7	970.71	1151.2	211.5	0.00069789	5.97E-06	0.0082782
210	4.15E+00	860.56	0.001162	-333590	-333590	-1193	1580.7	1973.4	1486	-4.62E-07	0.01021	0.18981	0.029966	0.00010938	9142.2	628820	666720	3570.4	973.22	1153.7	211.96	0.00068308	0.000005998	0.0083421
211	4.70E+00	859.67	0.0011632	-331620	-331620	-1183.6	1583.6	1975.8	1481.7	-4.61E-07	0.0098704	0.18937	0.029847	0.00012336	8106.1	629800	667880	3553.3	975.74	1156.2	212.43	0.00066864	6.03E-06	0.0084063
212	5.32E+00	858.79	0.0011644	-329640	-329640	-1174.3	1586.5	1978.2	1477.4	-4.60E-07	0.009545	0.18893	0.029729	0.00013896	7196.4	630770	669030	3536.5	978.27	1158.8	212.89	0.00065456	6.06E-06	0.0084708
213	6.01E+00	857.91	0.0011656	-327660	-327660	-1165	1589.5	1980.7	1473.1	-4.60E-07	0.0092329	0.18849	0.029613	0.00015633	6396.8	631750	670190	3519.8	980.81	1161.3	213.34	0.00064082	6.09E-06	0.0085356
214	6.78E+00	857.03	0.0011668	-325680	-325680	-1155.7	1592.6	1983.3	1468.7	-4.59E-07	0.0089335	0.18806	0.029498	0.00017566	5693	632730	671360	3503.4	983.37	1163.9	213.8	0.00062743	6.13E-06	0.0086007
215	7.65E+00	856.15	0.001168	-323690	-323690	-1146.4	1595.8	1986	1464.4	-4.58E-07	0.0086461	0.18764	0.029383	0.00019713	5072.7	633720	672520	3487.1	985.94	1166.5	214.26	0.00061435	6.16E-06	0.0086661
216	8.61E+00	855.27	0.0011692	-321710	-321710	-1137.2	1599	1988.7	1460.1	-4.58E-07	0.0083702	0.18722	0.02927	0.00022098	4525.3	634700	673690	3471.1	988.51	1169	214.71	0.0006016	6.19E-06	0.0087318
217	9.69E+00	854.39	0.0011704	-319720	-319720	-1128	1602.3	1991.6	1455.8	-4.57E-07	0.0081052	0.1868	0.029158	0.00024742	4041.8	635690	674860	3455.3	991.11	1171.6	215.16	0.00058915	6.22E-06	0.0087978
218	1.09E+01	853.52	0.0011716	-317720	-317720	-1118.8	1605.7	1994.5	1451.4	-4.56E-07	0.0078505	0.18639	0.029047	0.0002767	3614.1	636690	676030	3439.7	993.71	1174.2	215.61	0.000577	6.25E-06	0.0088641
219	1.22E+01	852.64	0.0011728	-315730	-315730	-1109.7	1609.1	1997.5	1447.1	-4.55E-07	0.0076058	0.18598	0.028937	0.00030909	3235.3	637680	677200	3424.2	996.32	1176.9	216.06	0.00056514	6.29E-06	0.0089307
220	1.37E+01	851.77	0.001174	-313730	-313730	-1100.6	1612.7	2000.6	1442.8	-4.55E-07	0.0073704	0.18557	0.028828	0.00034489	2899.5	638680	678380	3409	998.95	1179.5	216.51	0.00055357	6.32E-06	0.0089975
221	1.53E+01	850.9	0.0011752	-311730	-311730	-1091.5	1616.3	2003.7	1438.5	-4.54E-07	0.0071441	0.18517	0.02872	0.00038441	2601.4	639680	679560	3393.9	1001.6	1182.1	216.96	0.00054227	6.35E-06	0.0090647
222	1.71E+01	850.02	0.0011764	-309720	-309720	-1082.5	1619.9	2006.9	1434.1	-4.53E-07	0.0069263	0.18478	0.028612	0.000428	2336.5	640680	680740	3379.1	1004.2	1184.8	217.41	0.00053124	6.38E-06	0.0091322
223	1.92E+01	849.15	0.0011776	-307710	-307710	-1073.4	1623.7	2010.3	1429.8	-4.52E-07	0.0067167	0.18438	0.028506	0.00047601	2100.8	641680	681930	3364.4	1006.9	1187.5	217.85	0.00052047	6.41E-06	0.0092
224	2.14E+01	848.28	0.0011789	-305700	-305700	-1064.4	1627.5	2013.6	1425.5	-4.51E-07	0.0065149	0.18399	0.028401	0.00052885	1890.9	642690	683120	3349.9	1009.6	1190.2	218.29	0.00050995	6.45E-06	0.0092682
225	2.38E+01	847.41	0.0011801	-303690	-303690	-1055.5	1631.4	2017.1	1421.2	-4.50E-07	0.0063206	0.18361	0.028296	0.00058694	1703.7	643700	684310	3335.6	1012.3	1192.9	218.74	0.00049968	6.48E-06	0.0093366
226	2.65E+01	846.55	0.0011813	-301670	-301670	-1046.5	1635.3	2020.6	1416.9	-4.49E-07	0.0061335	0.18323	0.028192	0.00065074	1536.7	644710	685500	3321.5	1015	1195.6	219.18	0.00048964	0.00000651	0.0094053
227	2.95E+01	845.68	0.0011825	-299640	-299640	-1037.6	1639.3	2024.2	1412.6	-4.48E-07	0.0059531	0.18285	0.028089	0.00072075	1387.4	645730	686690	3307.5	1017.7	1198.3	219.62	0.00047984	6.54E-06	0.0094744
