Temperature (K)	Pressure (Pa)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, J/kg)"	"Enthalpy (l, J/kg)"	"Entropy (l, J/kg*K)"	"Cv (l, J/kg*K)"	"Cp (l, J/kg*K)"	"Sound Spd. (l, m/s)"	"Joule-Thomson (l, K/Pa)"	"Viscosity (l, Pa*s)"	"Therm. Cond. (l, W/m*K)"	"Surf. Tension (l, N/m)"	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, J/kg)"	"Enthalpy (v, J/kg)"	"Entropy (v, J/kg*K)"	"Cv (v, J/kg*K)"	"Cp (v, J/kg*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/Pa)"	"Viscosity (v, Pa*s)"	"Therm. Cond. (v, W/m*K)"
170	414.63	1164.5	0.00085873	36972	36972	254.83	1028.4	1515.1	1293.7	-4.14E-07	0.0012486	0.16554	0.029099	0.019391	51.571	408920	430300	2568.5	606.08	732.59	160.7	0.00023322	5.71E-06	0.0016044
170.33	429.82	1163.9	0.00085919	37477	37477	257.8	1028.6	1515.4	1291.6	-4.14E-07	0.0012373	0.16531	0.029045	0.020062	49.844	409120	430540	2565.4	606.82	733.35	160.84	0.00023146	5.72E-06	0.0016368
170.67	445.5	1163.3	0.00085964	37982	37983	260.76	1028.7	1515.7	1289.6	-4.13E-07	0.0012261	0.16509	0.02899	0.020754	48.183	409320	430780	2562.3	607.55	734.11	160.98	0.00022972	5.73E-06	0.0016693
171	461.67	1162.7	0.0008601	38487	38488	263.72	1028.9	1516	1287.6	-4.13E-07	0.0012151	0.16486	0.028935	0.021466	46.585	409520	431030	2559.3	608.29	734.86	161.12	0.000228	5.74E-06	0.0017017
171.33	478.35	1162	0.00086055	38993	38993	266.67	1029.1	1516.3	1285.6	-4.13E-07	0.0012043	0.16464	0.028881	0.022199	45.047	409720	431270	2556.2	609.03	735.62	161.26	0.00022629	5.75E-06	0.0017342
171.67	495.56	1161.4	0.00086101	39498	39499	269.62	1029.2	1516.6	1283.6	-4.12E-07	0.0011936	0.16442	0.028826	0.022953	43.566	409920	431510	2553.2	609.77	736.38	161.4	0.0002246	5.76E-06	0.0017667
172	513.3	1160.8	0.00086147	40004	40004	272.56	1029.3	1516.9	1281.7	-4.12E-07	0.001183	0.16419	0.028771	0.02373	42.141	410120	431750	2550.2	610.52	737.14	161.53	0.00022292	5.77E-06	0.0017991
172.33	531.6	1160.2	0.00086193	40510	40510	275.5	1029.5	1517.2	1279.7	-4.12E-07	0.0011726	0.16397	0.028717	0.024529	40.769	410320	432000	2547.2	611.26	737.91	161.67	0.00022126	5.78E-06	0.0018316
172.67	550.46	1159.6	0.00086239	41015	41016	278.43	1029.6	1517.4	1277.7	-4.12E-07	0.0011624	0.16375	0.028662	0.02535	39.447	410530	432240	2544.2	612	738.67	161.81	0.00021961	5.79E-06	0.0018641
173	569.89	1159	0.00086285	41521	41522	281.36	1029.7	1517.7	1275.8	-4.11E-07	0.0011523	0.16353	0.028607	0.026196	38.174	410730	432480	2541.2	612.75	739.44	161.95	0.00021798	5.80E-06	0.0018965
