Temperature (K)	Pressure (Pa)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, J/kg)"	"Enthalpy (l, J/kg)"	"Entropy (l, J/kg*K)"	"Cv (l, J/kg*K)"	"Cp (l, J/kg*K)"	"Sound Spd. (l, m/s)"	"Joule-Thomson (l, K/Pa)"	"Viscosity (l, Pa*s)"	"Therm. Cond. (l, W/m*K)"	"Surf. Tension (l, N/m)"	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, J/kg)"	"Enthalpy (v, J/kg)"	"Entropy (v, J/kg*K)"	"Cv (v, J/kg*K)"	"Cp (v, J/kg*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/Pa)"	"Viscosity (v, Pa*s)"	"Therm. Cond. (v, W/m*K)"
291.1	536390	1232.8	0.00081117	224160	224600	1086.5	902.25	1397.3	539.06	-7.18E-08	0.0002127	0.084167	0.0090349	26.071	0.038356	388090	408660	1718.8	814.68	988.69	145.46	0.000027332	1.14E-05	0.013139
291.44	542150	1231.6	0.00081198	224630	225070	1088.1	902.71	1398.5	537.48	-6.95E-08	0.0002118	0.08402	0.0089882	26.35	0.037951	388270	408850	1718.7	815.73	990.65	145.41	0.000027244	1.14E-05	0.013172
291.78	547960	1230.3	0.0008128	225110	225550	1089.8	903.16	1399.8	535.91	-6.72E-08	0.00021091	0.083873	0.0089417	26.63	0.037551	388450	409030	1718.6	816.79	992.63	145.36	0.000027156	1.14E-05	0.013204
292.13	553810	1229.1	0.00081362	225580	226030	1091.4	903.62	1401	534.34	-6.49E-08	0.00021002	0.083726	0.0088951	26.914	0.037156	388630	409210	1718.4	817.84	994.62	145.31	0.00002707	1.14E-05	0.013236
292.47	559710	1227.8	0.00081444	226050	226510	1093	904.08	1402.3	532.77	-6.25E-08	0.00020913	0.083579	0.0088486	27.199	0.036766	388810	409390	1718.3	818.9	996.62	145.26	0.000026984	1.15E-05	0.013269
292.81	565660	1226.6	0.00081527	226520	226990	1094.6	904.54	1403.6	531.19	-6.02E-08	0.00020825	0.083432	0.0088022	27.487	0.036381	388990	409570	1718.2	819.96	998.62	145.2	0.000026898	1.15E-05	0.013302
293.15	571660	1225.3	0.0008161	227000	227460	1096.2	905	1404.8	529.62	-5.78E-08	0.00020737	0.083285	0.0087558	27.778	0.036	389170	409750	1718	821.02	1000.6	145.15	0.000026814	1.15E-05	0.013334
293.49	577700	1224.1	0.00081693	227470	227940	1097.8	905.46	1406.1	528.05	-5.54E-08	0.0002065	0.083139	0.0087095	28.071	0.035624	389350	409930	1717.9	822.08	1002.7	145.09	0.000026729	1.15E-05	0.013367
293.83	583790	1222.8	0.00081777	227950	228420	1099.5	905.93	1407.4	526.47	-5.30E-08	0.00020563	0.082992	0.0086632	28.367	0.035253	389520	410100	1717.8	823.14	1004.7	145.04	0.000026646	1.15E-05	0.0134
294.17	589930	1221.6	0.00081861	228420	228900	1101.1	906.39	1408.7	524.9	-5.05E-08	0.00020476	0.082845	0.008617	28.665	0.034886	389700	410280	1717.7	824.21	1006.8	144.98	0.000026563	1.15E-05	0.013433
294.51	596120	1220.3	0.00081945	228890	229380	1102.7	906.85	1410	523.32	-4.81E-08	0.0002039	0.082699	0.0085708	28.966	0.034523	389880	410460	1717.5	825.27	1008.8	144.93	0.00002648	1.15E-05	0.013466
294.85	602360	1219.1	0.0008203	229370	229860	1104.3	907.32	1411.4	521.75	-4.56E-08	0.00020304	0.082552	0.0085247	29.269	0.034165	390060	410640	1717.4	826.34	1010.9	144.87	0.000026398	1.16E-05	0.013499
