Temperature (K)	Pressure (Pa)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, J/kg)"	"Enthalpy (l, J/kg)"	"Entropy (l, J/kg*K)"	"Cv (l, J/kg*K)"	"Cp (l, J/kg*K)"	"Sound Spd. (l, m/s)"	"Joule-Thomson (l, K/Pa)"	"Viscosity (l, Pa*s)"	"Therm. Cond. (l, W/m*K)"	"Surf. Tension (l, N/m)"	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, J/kg)"	"Enthalpy (v, J/kg)"	"Entropy (v, J/kg*K)"	"Cv (v, J/kg*K)"	"Cp (v, J/kg*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/Pa)"	"Viscosity (v, Pa*s)"	"Therm. Cond. (v, W/m*K)"
208.95	8393	1411.2	0.00070861	118670	118680	661.79	835.98	1227.9	932.15	-3.6238E-07	0.00062943	0.10832	0.022378	0.55452	1.8033	323640	338770	1715.1	647.63	722.73	129.54	0.000053842	6.75E-06	0.0065635
209.29	8593.6	1410.4	0.00070904	119090	119090	663.79	836.18	1228.1	930.58	-3.6198E-07	0.00062642	0.10818	0.022322	0.56693	1.7639	323850	339010	1714.6	648.35	723.49	129.63	0.000053627	6.77E-06	0.0065908
209.63	8798.2	1409.5	0.00070947	119510	119510	665.78	836.37	1228.4	929.01	-3.6158E-07	0.00062342	0.10804	0.022265	0.57956	1.7255	324070	339250	1714	649.06	724.25	129.71	0.000053414	6.79E-06	0.006618
209.97	9006.9	1408.6	0.0007099	119920	119930	667.77	836.57	1228.6	927.44	-3.6117E-07	0.00062043	0.10789	0.022209	0.59241	1.688	324280	339490	1713.4	649.78	725.01	129.8	0.000053201	6.82E-06	0.0066452
210.31	9219.7	1407.8	0.00071033	120340	120350	669.76	836.77	1228.9	925.87	-3.6076E-07	0.00061746	0.10775	0.022153	0.6055	1.6515	324500	339730	1712.9	650.49	725.77	129.88	0.00005299	6.84E-06	0.0066725
210.65	9436.6	1406.9	0.00071076	120760	120770	671.75	836.97	1229.1	924.3	-3.6035E-07	0.00061451	0.10761	0.022097	0.61883	1.616	324710	339960	1712.3	651.21	726.54	129.97	0.00005278	6.86E-06	0.0066997
210.99	9657.8	1406.1	0.0007112	121180	121180	673.73	837.17	1229.4	922.74	-3.5993E-07	0.00061157	0.10747	0.022041	0.63239	1.5813	324930	340200	1711.8	651.92	727.3	130.05	0.000052571	6.88E-06	0.0067269
211.33	9883.2	1405.2	0.00071163	121590	121600	675.71	837.37	1229.7	921.17	-3.5952E-07	0.00060864	0.10733	0.021985	0.6462	1.5475	325150	340440	1711.2	652.64	728.06	130.14	0.000052362	6.90E-06	0.0067541
211.67	10113	1404.4	0.00071206	122010	122020	677.69	837.58	1229.9	919.61	-3.591E-07	0.00060574	0.10719	0.021929	0.66025	1.5146	325360	340680	1710.7	653.35	728.82	130.22	0.000052155	6.93E-06	0.0067814
212.01	10347	1403.5	0.0007125	122430	122440	679.66	837.78	1230.2	918.04	-3.5867E-07	0.00060284	0.10705	0.021874	0.67455	1.4825	325580	340920	1710.2	654.06	729.58	130.3	0.000051949	6.95E-06	0.0068086
212.35	10586	1402.7	0.00071293	122850	122860	681.63	837.99	1230.5	916.48	-3.5824E-07	0.00059996	0.10691	0.021818	0.6891	1.4512	325800	341160	1709.7	654.77	730.33	130.39	0.000051744	6.97E-06	0.0068357
212.69	10829	1401.8	0.00071337	123270	123270	683.6	838.2	1230.7	914.91	-3.5781E-07	0.0005971	0.10677	0.021762	0.70391	1.4206	326010	341400	1709.1	655.48	731.09	130.47	0.00005154	6.99E-06	0.0068629
213.03	11077	1400.9	0.0007138	123690	123690	685.56	838.41	1231	913.35	-3.5738E-07	0.00059425	0.10663	0.021706	0.71897	1.3909	326230	341640	1708.6	656.19	731.85	130.55	0.000051337	7.01E-06	0.0068901
