Temperature (K)	Pressure (Pa)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, J/kg)"	"Enthalpy (l, J/kg)"	"Entropy (l, J/kg*K)"	"Cv (l, J/kg*K)"	"Cp (l, J/kg*K)"	"Sound Spd. (l, m/s)"	"Joule-Thomson (l, K/Pa)"	"Viscosity (l, Pa*s)"	"Therm. Cond. (l, W/m*K)"	"Surf. Tension (l, N/m)"	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, J/kg)"	"Enthalpy (v, J/kg)"	"Entropy (v, J/kg*K)"	"Cv (v, J/kg*K)"	"Cp (v, J/kg*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/Pa)"	"Viscosity (v, Pa*s)"	"Therm. Cond. (v, W/m*K)"
215.61	1.13E+04	1675.2	0.00059694	139150	139160	750.85	722.5	1006.6	735.58	-3.58E-07	0.00076521	0.080286	0.016979	1.0818	0.92442	276930	287350	1438.2	597.96	650.75	105.94	0.000071945	8.31E-06	0.0076602
216	1.16E+04	1674	0.00059736	139540	139540	752.63	723.02	1007.1	733.98	-3.57E-07	0.00076057	0.080202	0.016931	1.1076	0.90286	277150	287590	1438.1	598.91	651.77	106.01	0.000071352	8.32E-06	0.0076842
216.38	1.19E+04	1672.9	0.00059778	139920	139930	754.41	723.53	1007.7	732.39	-3.56E-07	0.00075597	0.080118	0.016884	1.1339	0.88189	277360	287830	1437.9	599.86	652.78	106.08	0.000070765	8.34E-06	0.0077083
216.76	1.22E+04	1671.7	0.0005982	140310	140310	756.2	724.05	1008.3	730.79	-3.56E-07	0.00075141	0.080037	0.016837	1.1608	0.86149	277580	288060	1437.8	600.8	653.8	106.15	0.000070186	8.35E-06	0.0077324
217.14	1.25E+04	1670.5	0.00059863	140690	140700	757.97	724.57	1008.9	729.2	-3.55E-07	0.00074689	0.079954	0.016789	1.1881	0.84165	277800	288300	1437.7	601.75	654.81	106.22	0.000069614	8.37E-06	0.0077565
217.53	1.28E+04	1669.3	0.00059905	141080	141090	759.75	725.09	1009.4	727.61	-3.54E-07	0.0007424	0.079871	0.016742	1.216	0.82235	278020	288540	1437.6	602.7	655.83	106.29	0.000069049	8.38E-06	0.0077806
217.91	1.31E+04	1668.1	0.00059947	141460	141470	761.52	725.6	1010	726.02	-3.53E-07	0.00073795	0.079787	0.016695	1.2444	0.80358	278250	288770	1437.5	603.65	656.85	106.36	0.00006849	8.40E-06	0.0078048
218.29	1.34E+04	1666.9	0.0005999	141850	141860	763.3	726.12	1010.6	724.44	-3.53E-07	0.00073353	0.079703	0.016648	1.2734	0.78531	278470	289010	1437.4	604.6	657.87	106.43	0.000067938	8.41E-06	0.007829
218.67	1.38E+04	1665.8	0.00060033	142240	142250	765.07	726.64	1011.2	722.85	-3.52E-07	0.00072915	0.079619	0.0166	1.3029	0.76753	278690	289250	1437.3	605.54	658.89	106.5	0.000067393	8.43E-06	0.0078532
219.06	1.41E+04	1664.6	0.00060076	142620	142630	766.84	727.16	1011.8	721.27	-3.51E-07	0.0007248	0.079535	0.016553	1.3329	0.75023	278910	289480	1437.2	606.49	659.91	106.57	0.000066854	8.44E-06	0.0078774
219.44	1.44E+04	1663.4	0.00060118	143010	143020	768.6	727.68	1012.4	719.68	-3.51E-07	0.00072049	0.07945	0.016506	1.3635	0.73339	279130	289720	1437.1	607.44	660.93	106.63	0.000066322	8.46E-06	0.0079017
219.82	1.48E+04	1662.2	0.00060161	143400	143410	770.37	728.2	1012.9	718.1	-3.50E-07	0.00071621	0.079366	0.016458	1.3947	0.717	279350	289960	1437	608.39	661.95	106.7	0.000065795	8.47E-06	0.007926
220.2	1.52E+04	1661	0.00060204	143790	143800	772.13	728.72	1013.5	716.52	-3.49E-07	0.00071196	0.079281	0.016411	1.4264	0.70105	279570	290200	1437	609.33	662.97	106.77	0.000065275	8.49E-06	0.0079503
220.59	1.55E+04	1659.8	0.00060248	144180	144180	773.89	729.24	1014.1	714.95	-3.48E-07	0.00070775	0.079196	0.016364	1.4588	0.68551	279790	290430	1436.9	610.28	663.99	106.84	0.000064762	8.50E-06	0.0079746
220.97	1.59E+04	1658.6	0.00060291	144560	144570	775.65	729.76	1014.7	713.37	-3.48E-07	0.00070357	0.079111	0.016317	1.4917	0.67038	280020	290670	1436.8	611.23	665.01	106.9	0.000064254	8.51E-06	0.007999
221.35	1.63E+04	1657.4	0.00060334	144950	144960	777.4	730.28	1015.3	711.8	-3.47E-07	0.00069942	0.079025	0.016269	1.5252	0.65565	280240	290910	1436.8	612.17	666.04	106.97	0.000063752	8.53E-06	0.0080233
221.74	1.67E+04	1656.2	0.00060378	145340	145350	779.15	730.8	1015.9	710.23	-3.46E-07	0.00069531	0.07894	0.016222	1.5593	0.64131	280460	291150	1436.7	613.12	667.06	107.04	0.000063256	8.54E-06	0.0080477
222.12	1.71E+04	1655.1	0.00060421	145730	145740	780.91	731.32	1016.5	708.65	-3.45E-07	0.00069122	0.078854	0.016175	1.5941	0.62733	280690	291390	1436.6	614.06	668.09	107.1	0.000062766	8.56E-06	0.0080722
222.5	1.75E+04	1653.9	0.00060465	146120	146130	782.66	731.84	1017.1	707.09	-3.45E-07	0.00068717	0.078768	0.016128	1.6294	0.61372	280910	291630	1436.6	615.01	669.11	107.17	0.000062281	8.57E-06	0.0080966
222.88	1.79E+04	1652.7	0.00060508	146510	146520	784.4	732.36	1017.7	705.52	-0.000000344	0.00068315	0.078683	0.01608	1.6654	0.60046	281130	291870	1436.5	615.95	670.14	107.23	0.000061803	8.59E-06	0.0081211
223.27	1.83E+04	1651.5	0.00060552	146900	146910	786.15	732.89	1018.3	703.95	-3.43E-07	0.00067916	0.078596	0.016033	1.702	0.58753	281360	292110	1436.5	616.9	671.17	107.3	0.000061329	8.60E-06	0.0081456
223.65	1.87E+04	1650.3	0.00060596	147290	147300	787.89	733.41	1019	702.39	-3.42E-07	0.0006752	0.07851	0.015986	1.7393	0.57494	281580	292350	1436.4	617.84	672.19	107.36	0.000060861	8.62E-06	0.0081701
224.03	1.92E+04	1649.1	0.0006064	147680	147690	789.64	733.93	1019.6	700.82	-3.42E-07	0.00067126	0.078424	0.015939	1.7772	0.56267	281800	292590	1436.4	618.79	673.22	107.42	0.000060399	8.63E-06	0.0081947
224.41	1.96E+04	1647.9	0.00060684	148070	148080	791.38	734.45	1020.2	699.26	-3.41E-07	0.00066736	0.078337	0.015892	1.8158	0.55071	282030	292820	1436.4	619.73	674.25	107.49	0.000059942	8.65E-06	0.0082193
224.8	2.01E+04	1646.7	0.00060728	148460	148470	793.11	734.97	1020.8	697.7	-3.40E-07	0.00066349	0.078251	0.015844	1.8551	0.53906	282250	293060	1436.3	620.68	675.28	107.55	0.00005949	8.66E-06	0.0082438
225.18	2.05E+04	1645.5	0.00060772	148850	148860	794.85	735.5	1021.4	696.14	-3.39E-07	0.00065965	0.078164	0.015797	1.895	0.52769	282480	293300	1436.3	621.62	676.31	107.61	0.000059043	8.68E-06	0.0082685
225.56	2.10E+04	1644.3	0.00060817	149240	149250	796.58	736.02	1022	694.59	-3.39E-07	0.00065583	0.078077	0.01575	1.9357	0.51662	282700	293550	1436.3	622.56	677.34	107.67	0.000058602	8.69E-06	0.0082931
225.94	2.15E+04	1643.1	0.00060861	149630	149640	798.32	736.54	1022.7	693.03	-3.38E-07	0.00065205	0.07799	0.015703	1.977	0.50582	282930	293790	1436.3	623.51	678.38	107.74	0.000058165	8.71E-06	0.0083178
226.33	2.20E+04	1641.9	0.00060906	150020	150030	800.05	737.07	1023.3	691.48	-3.37E-07	0.00064829	0.077903	0.015656	2.019	0.49528	283150	294030	1436.3	624.45	679.41	107.8	0.000057733	8.72E-06	0.0083425
226.71	2.25E+04	1640.7	0.0006095	150410	150430	801.78	737.59	1023.9	689.92	-3.36E-07	0.00064456	0.077815	0.015608	2.0618	0.48501	283380	294270	1436.2	625.39	680.44	107.86	0.000057307	8.74E-06	0.0083672
227.09	2.30E+04	1639.5	0.00060995	150800	150820	803.5	738.11	1024.5	688.37	-3.35E-07	0.00064086	0.077728	0.015561	2.1053	0.475	283600	294510	1436.2	626.33	681.48	107.92	0.000056885	8.75E-06	0.0083919
227.48	2.35E+04	1638.3	0.0006104	151200	151210	805.23	738.64	1025.2	686.82	-3.35E-07	0.00063718	0.07764	0.015514	2.1495	0.46523	283830	294750	1436.2	627.28	682.51	107.98	0.000056467	8.77E-06	0.0084167
227.86	2.40E+04	1637.1	0.00061085	151590	151600	806.95	739.16	1025.8	685.27	-3.34E-07	0.00063354	0.077553	0.015467	2.1944	0.4557	284050	294990	1436.2	628.22	683.55	108.04	0.000056055	8.78E-06	0.0084415
228.24	2.45E+04	1635.9	0.0006113	151980	152000	808.67	739.69	1026.4	683.73	-3.33E-07	0.00062991	0.077465	0.01542	2.2402	0.4464	284280	295230	1436.2	629.16	684.59	108.1	0.000055647	8.80E-06	0.0084663
228.62	2.51E+04	1634.6	0.00061175	152370	152390	810.39	740.21	1027	682.18	-3.32E-07	0.00062632	0.077377	0.015373	2.2866	0.43733	284510	295470	1436.2	630.1	685.62	108.16	0.000055244	8.81E-06	0.0084911
229.01	2.56E+04	1633.4	0.00061221	152770	152780	812.11	740.73	1027.7	680.64	-3.31E-07	0.00062275	0.077289	0.015326	2.3339	0.42847	284730	295710	1436.3	631.04	686.66	108.22	0.000054845	8.83E-06	0.008516
229.39	2.62E+04	1632.2	0.00061266	153160	153180	813.82	741.26	1028.3	679.09	-3.31E-07	0.00061921	0.0772	0.015279	2.3819	0.41984	284960	295960	1436.3	631.98	687.7	108.28	0.000054451	8.84E-06	0.0085409
229.77	2.68E+04	1631	0.00061311	153550	153570	815.54	741.78	1029	677.55	-3.30E-07	0.00061569	0.077112	0.015231	2.4307	0.41141	285190	296200	1436.3	632.93	688.74	108.33	0.000054061	8.86E-06	0.0085658
230.15	2.74E+04	1629.8	0.00061357	153950	153960	817.25	742.31	1029.6	676.01	-3.29E-07	0.0006122	0.077023	0.015184	2.4803	0.40318	285410	296440	1436.3	633.87	689.78	108.39	0.000053675	8.87E-06	0.0085907
230.54	2.79E+04	1628.6	0.00061403	154340	154360	818.96	742.83	1030.2	674.47	-3.28E-07	0.00060873	0.076935	0.015137	2.5307	0.39515	285640	296680	1436.3	634.81	690.83	108.45	0.000053294	8.89E-06	0.0086157
230.92	2.85E+04	1627.4	0.00061448	154730	154750	820.67	743.36	1030.9	672.94	-3.27E-07	0.00060529	0.076846	0.01509	2.5819	0.38731	285870	296930	1436.4	635.75	691.87	108.5	0.000052917	8.90E-06	0.0086407
231.3	2.92E+04	1626.2	0.00061494	155130	155150	822.38	743.88	1031.5	671.4	-3.26E-07	0.00060187	0.076757	0.015043	2.634	0.37966	286100	297170	1436.4	636.69	692.91	108.56	0.000052544	8.92E-06	0.0086657
231.68	2.98E+04	1625	0.0006154	155520	155540	824.08	744.41	1032.2	669.86	-3.26E-07	0.00059848	0.076668	0.014996	2.6869	0.37218	286320	297410	1436.4	637.63	693.96	108.62	0.000052175	8.93E-06	0.0086907
232.07	3.04E+04	1623.7	0.00061586	155920	155940	825.78	744.93	1032.8	668.33	-3.25E-07	0.00059511	0.076579	0.014949	2.7406	0.36489	286550	297650	1436.5	638.56	695	108.67	0.00005181	8.95E-06	0.0087157
232.45	3.11E+04	1622.5	0.00061633	156310	156330	827.49	745.46	1033.5	666.8	-3.24E-07	0.00059176	0.07649	0.014902	2.7952	0.35776	286780	297900	1436.5	639.5	696.05	108.73	0.000051449	8.96E-06	0.0087408
232.83	3.17E+04	1621.3	0.00061679	156710	156730	829.19	745.98	1034.1	665.27	-3.23E-07	0.00058844	0.0764	0.014855	2.8506	0.3508	287010	298140	1436.5	640.44	697.1	108.78	0.000051092	8.98E-06	0.0087659
233.22	3.24E+04	1620.1	0.00061725	157110	157130	830.88	746.51	1034.8	663.74	-3.22E-07	0.00058514	0.076311	0.014808	2.907	0.344	287240	298380	1436.6	641.38	698.14	108.83	0.000050739	8.99E-06	0.008791
233.6	3.31E+04	1618.9	0.00061772	157500	157520	832.58	747.03	1035.4	662.21	-3.21E-07	0.00058187	0.076221	0.014761	2.9642	0.33736	287470	298630	1436.6	642.32	699.19	108.89	0.00005039	9.01E-06	0.0088162
233.98	3.38E+04	1617.6	0.00061819	157900	157920	834.27	747.56	1036.1	660.68	-3.20E-07	0.00057861	0.076131	0.014714	3.0223	0.33088	287700	298870	1436.7	643.26	700.24	108.94	0.000050045	9.02E-06	0.0088414
234.36	3.45E+04	1616.4	0.00061865	158290	158310	835.97	748.09	1036.8	659.15	-3.20E-07	0.00057538	0.076041	0.014667	3.0813	0.32454	287920	299110	1436.7	644.2	701.29	108.99	0.000049703	9.04E-06	0.0088666
234.75	3.52E+04	1615.2	0.00061912	158690	158710	837.66	748.61	1037.4	657.63	-3.19E-07	0.00057218	0.075951	0.01462	3.1412	0.31835	288150	299360	1436.8	645.13	702.35	109.05	0.000049365	9.05E-06	0.0088918
235.13	3.59E+04	1614	0.00061959	159090	159110	839.35	749.14	1038.1	656.11	-3.18E-07	0.00056899	0.075861	0.014573	3.2021	0.3123	288380	299600	1436.9	646.07	703.4	109.1	0.000049031	9.07E-06	0.008917
235.51	3.67E+04	1612.7	0.00062006	159480	159510	841.03	749.66	1038.8	654.58	-3.17E-07	0.00056583	0.075771	0.014526	3.2638	0.30639	288610	299840	1436.9	647.01	704.45	109.15	0.0000487	9.08E-06	0.0089423
235.89	3.74E+04	1611.5	0.00062054	159880	159900	842.72	750.19	1039.4	653.06	-3.16E-07	0.00056269	0.07568	0.014479	3.3266	0.30061	288840	300090	1437	647.94	705.51	109.2	0.000048373	9.10E-06	0.0089676
236.28	3.82E+04	1610.3	0.00062101	160280	160300	844.41	750.71	1040.1	651.54	-3.15E-07	0.00055957	0.07559	0.014432	3.3903	0.29496	289070	300330	1437.1	648.88	706.56	109.25	0.000048049	9.11E-06	0.0089929
